;Dispositivos;Precios
0;Realme C55 256GB 8GB Ram 64Mpx Negro;S/  749  -25%
1;Xiaomi Redmi 12C 128GB 4GB Ram;S/  519  -26%
2;Poco F5 256gb 8gb Ram dual Sim negro;S/  1,549  -26%
3;XIAOMI REDMI NOTE 12 4GB RAM 128GB RAM 48MP - NEGRO;S/  699  -30%
4;POCO X5 Pro 5G Black 8GB256GB;S/  1,599  
5;Realme C55 256GB 8GB Ram 64Mpx Dorado;S/  749  -25%
6;REDMI NOTE 12 PRO 4G 8GB RAM 256GB ROM GRAPHITE GRAY;S/  1,109  -21%
7;REDMI NOTE 12 PRO 4G 8GB RAM 256GB ROM GLACIER BLUE;S/  1,109  -21%
8;Samsung A22 64GB 4GB Negro;S/  629  -39%
9;Apple iPhone 12 - 64GB - Negro;S/  2,619  -47%
10;Motorola Moto E30 32GB 2GB GRIS;S/  429  -27%
11;XIAOMI REDMI NOTE 12 PRO PLUS 5G 256GB 8GB ENTREGA INMEDIATA - NEGRO;S/  1,429  -29%
